school_name,meal_date,score,summary,dish_count,dishes
新北市三峽區大成國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為糙米飯提供纖維與礦物質，有機青油菜清燙保留營養，金針蛋花湯低油低鹽，牛乳補充鈣，鳳梨提供新鮮水果纖維與維生素。隱憂為紅燒豆腐加工素料高，鈉糖油偏高，螞蟻上樹使用高級精鹽增加鈉含量，建議減少加工食品與精鹽使用。整體屬均衡偏健康的一餐。,7,"[""糙米飯"", ""紅燒豆腐(1)"", ""螞蟻上樹(1)"", ""金針蛋花湯"", ""有機青油菜"", ""牛乳"", ""鳳梨""]"
新北市三峽區安溪國中,2026-03-31,4,本餐主食、主菜、副菜、蔬菜、湯品均有多樣選擇，營養均衡。亮點為多道菜餚使用清淡滷味或清燙，保留營養成分；如滷香百頁、麻油雞、哨子豆腐、履歷油麥菜等，提供優質蛋白質、纖維與礦物質。然而，隱憂為部分菜餚如結菜黑輪、高加工度的腐皮白菜以及酸菜肉絲湯中的酸菜含高鈉，建議適量控制。整體屬於均衡且多樣的一餐，但需注意高鈉食材的攝入量。,12,"[""麻油雞"", ""白飯"", ""結菜黑輪"", ""酸菜肉絲湯"", ""滷香百頁(素)"", ""小米飯(素)"", ""哨子豆腐(素)"", ""履歷油麥菜(素)"", ""扁豆蔬菜湯(素)"", ""腐皮白菜(素)"", ""履歷油麥菜"", ""泰式打拋鴿蛋""]"
新北市三峽區安溪國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果基本齊全，但主食白飯營養價值偏低。亮點包含年糕凍腐、南瓜豆腐蛋、紅片花椰、有機小芥菜等菜餚，提供豐富的纖維、蛋白質與礦物質。隱憂為主菜壽喜燒油脂偏高，蜜汁地瓜添加糖分偏高，鐵板素雞加工度高且營養平衡度較差。整體屬偏健康的一餐，但仍需注意主食的營養價值與控制添加糖分。,10,"[""白飯"", ""壽喜燒"", ""年糕凍腐(素)"", ""南瓜豆腐蛋"", ""紅片花椰"", ""薑絲海芽湯(素)"", ""蜜汁地瓜(素)"", ""鐵板素雞(素)"", ""薑絲海芽湯"", ""有機小芥菜""]"
新北市三峽區建安國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與副菜均衡。亮點為雜糧飯提供全谷物纖維，青油菜未經烹飪保留完整營養，牛蒡海結湯清淡保留礦物質。隱憂為沙茶肉片高脂，玉米筍炒百頁炒製手法略失健康，建議增加清淡烹飪手法並控制油量。整體屬較均衡的一餐。,5,"[""沙茶肉片"", ""雜糧飯"", ""玉米筍炒百頁"", ""青油菜"", ""牛蒡海結湯""]"
新北市三峽區成福國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與副菜均衡。亮點為有機胚芽米飯保留全穀營養、蒜香萵苣清燙保留纖維與礦物質、大頭菜排骨湯營養豐富。隱憂為三杯雞與馬鈴薯炒毛豆的油量與糖分略高，建議調整烹調手法以減少油糖攝入。整體屬均衡偏健康的一餐。,5,"[""三杯雞"", ""有機胚芽米飯"", ""馬鈴薯炒毛豆"", ""大頭菜排骨湯"", ""蒜香萵苣""]"
新北市三峽區插角森林實驗國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為彩椒雞丁新鮮搭配，提供蛋白質與纖維，三絲豆干補充植物蛋白，小蕃茄與有機油菜保留纖維與礦物質。隱憂為肉骨茶湯使用茶包可能導致鈉含量較高，建議注意調味。整體屬均衡偏健康的一餐。,6,"[""彩椒雞丁"", ""紫米飯"", ""三絲豆干"", ""肉骨茶湯"", ""有機油菜"", ""小蕃茄""]"
新北市三峽區明德高中,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為清燙履歷油麥菜保留纖維與礦物質，明德小番茄富含維生素，以及地瓜圓甜湯的纖維與礦物質保留度佳。隱憂為海鮮排加工度高，麻婆豆腐可能高油，建議減少油量。整體屬均衡偏健康的一餐。,6,"[""海鮮排"", ""紅藜麥飯"", ""麻婆豆腐"", ""地瓜圓甜湯"", ""履歷油麥菜"", ""明德小番茄""]"
新北市三峽區有木國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為彩椒雞丁新鮮搭配提供蛋白質與纖維，小蕃茄與有機青油菜清燙保留營養。隱憂為三絲豆干雖營養豐富但肉絲加工度較高，肉骨茶湯的鈉含量較高，建議注意調味與選用低鈉茶包。整體屬均衡偏健康的一餐。,6,"[""有機青油菜"", ""彩椒雞丁"", ""紫米飯"", ""肉骨茶湯"", ""三絲豆干"", ""小蕃茄""]"
新北市三峽區民義國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為地瓜飯提供豐富纖維，鐵板豆腐與番茄炒蛋提供蛋白質與蔬菜，炒青江菜保留纖維與礦物質，大滷湯營養保留度佳，奇異果單一水果清爽營養。隱憂為番茄炒蛋與炒青江菜略有炒製手法缺陷，建議減少油量並注意烹調技巧。整體屬均衡偏健康的一餐。,6,"[""地瓜飯"", ""鐵板豆腐"", ""番茄炒蛋"", ""大滷湯"", ""炒青江菜"", ""奇異果""]"
新北市三峽區私立辭修高中,2026-03-31,3,本餐主食糙米飯營養豐富，但主菜與副菜多選用高加工或高鈉食材，油脂與糖分偏高。亮點為糙米飯提供纖維與礦物質，蕃茄蛋花湯清淡煮法保留營養。隱憂為泡菜燒雞、味增燒豬等菜餚高鈉與油脂，茄汁甜條等加工食品營養價值低，建議增加新鮮蔬菜與優質蛋白攝入，減少加工食品與高鈉食材。,8,"[""糙米飯"", ""泡菜燒雞"", ""泡菜燒雞(素)"", ""味增燒豬"", ""沙茶麵腸(素)"", ""茄汁甜條"", ""茄汁甜條(素)"", ""蕃茄蛋花湯(葷素)""]"
新北市三峽區龍埔國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為清燙小芥菜保留纖維與礦物質、茂谷柑提供原型水果營養、豆漿補充植物蛋白與纖維。整體營養均衡，但主菜鳳梨咕咾雞缺乏明確烹飪手法評估，隱憂為可能的高油或高鹽問題，建議注意調味與烹飪手法以達更健康的餐食。,7,"[""鳳梨咕咾雞"", ""胚芽飯"", ""彩蔬蘿蔔糕"", ""味噌豆腐湯"", ""有機小芥菜"", ""茂谷柑"", ""豆漿""]"
新北市三芝區三芝國中,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與副菜均衡搭配，主食小米飯富含纖維，主菜雞米花雖缺蔬菜但蛋白質佳。亮點為蔬炒絲瓜與履歷蔬菜福山萵苣保留纖維與礦物質，筍片排骨湯清淡營養。隱憂為鮮菇炒蛋炒製油量略高，建議減少油量；整體屬均衡且營養的一餐。,6,"[""雞米花"", ""小米飯"", ""蔬炒絲瓜"", ""鮮菇炒蛋"", ""筍片排骨湯"", ""履歷蔬菜福山萵苣""]"
新北市三芝區三芝國小,2026-03-31,4,本餐主食、主菜、副菜、蔬菜、湯品與水果均衡搭配。亮點為清燙黑葉白菜保留纖維與礦物質、番茄豆腐蛋花湯清淡營養豐富、柳丁提供新鮮水果纖維。隱憂為主菜腐乳雞缺乏明確健康烹飪手法，副菜高麗菜可能過熟，營養流失。整體屬均衡偏健康的一餐，建議注意烹飪手法以保留營養。,6,"[""胚芽飯"", ""腐乳雞"", ""螞蟻上樹"", ""番茄豆腐蛋花湯"", ""有機黑葉白"", ""柳丁""]"
新北市三芝區橫山國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配較為均衡。亮點為主食麥片飯提供全穀纖維，高麗菜清燙保留礦物質，山藥紅棗雞湯營養豐富。隱憂為瓜仔肉加工肉類與高鈉醃漬蔬菜，日式蒸蛋鰹魚醬油鈉偏高，全脂保久乳脂肪和熱量偏高。整體屬偏健康的一餐，但仍需注意加工肉類與高鈉食材的攝取。,6,"[""瓜仔肉"", ""麥片飯"", ""日式蒸蛋"", ""山藥紅棗雞湯"", ""高麗菜"", ""全脂保久乳""]"
新北市三芝區興華國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配均衡。亮點為清燙黑葉白菜保留纖維與礦物質，番茄豆腐蛋花湯清淡營養豐富，柳丁提供新鮮水果纖維。隱憂為主菜腐乳雞缺乏明確健康烹飪手法，副菜螞蟻上樹可能因高麗菜過熟而失去部分營養。整體屬均衡偏健康的一餐，建議注意烹飪手法以保留食材營養。,6,"[""胚芽飯"", ""腐乳雞"", ""螞蟻上樹"", ""番茄豆腐蛋花湯"", ""有機黑葉白"", ""柳丁""]"
新北市三重區三光國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配均衡。亮點為糙米飯提供纖維與礦物質、多道蔬菜清淡烹調保留營養、水果提供纖維與維生素。隱憂為酥炸蘿蔔糕高加工高熱量，肉絲黃芽加工度較高，建議減少加工食品與油炸頻率。整體屬均衡偏健康的一餐。,11,"[""糙米飯"", ""1150331古早味瓜仔肉"", ""1150331瓜仔干丁(素)"", ""1150331有機小芥菜(素)"", ""1150331紅絲黃芽(素)"", ""1150331肉絲黃芽"", ""1150331蔬菜豆腐湯"", ""1150331酥炸蘿蔔糕(素)"", ""1150331蔬菜蛋花湯"", ""1150331有機小芥菜"", ""1150331水果""]"
新北市三重區三和國中,2026-03-31,3,本餐主食、主菜、副菜、蔬菜、湯品類別齊全，但營養均衡度不佳。亮點包含大麥飯、胚芽飯提供全穀類纖維，油麥菜清燙保留礦物質，和風鮮菇湯與玉米蛋花湯清淡營養豐富。然而，多道菜餚如咖哩燴冬粉、果香豆腸、紅燒豆包等加工度高，營養平衡度不佳，且鈉糖油偏高。整體屬營養不均衡的一餐，建議減少加工食材，增加清淡烹調手法。,17,"[""胚芽飯"", ""海鮮排"", ""咖哩燴冬粉(素)"", ""果香豆腸(素)"", ""紅燒豆包(素)"", ""豆瓣鮮魚(非基改)"", ""大麥飯"", ""胚芽飯(素)"", ""椒鹽香酥雞"", ""綜合關東煮"", ""鄉村粉絲"", ""酸辣湯(素)"", ""鮮蔬甘藍"", ""和風鮮菇湯"", ""玉米蛋花湯(非基改)"", ""(油麥菜)履歷"", ""產履油麥菜""]"
新北市三重區三重商工,2026-03-31,4,本餐主食選用白飯，缺乏蛋白質與纖維。亮點包含彩椒雞丁、沙茶肉片、泡菜肉片等菜餚，提供豐富的維生素與蛋白質。然而，多數主菜如日式豬排、柳葉魚、香酥炸雞腿等均為高脂或高加工食品，熱量與鈉偏高。副菜如咖哩洋芋、椒鹽百頁、蛋酥白菜等提供營養豐富的選擇，但部分菜餚如三杯豆腐、滷蛋等仍有油糖偏高的問題。蔬菜方面，多達二十餘種清燙蔬菜提供充足的纖維與礦物質。隱憂為高加工肉類與高油高鈉食品比例偏高，建議增加清淡烹飪手法與減少加工食品的使用。,45,"[""白飯"", ""彩椒雞丁"", ""日式豬排"", ""柳葉魚"", ""沙茶肉片"", ""泡菜肉片"", ""無骨雞排"", ""紅燒肉"", ""紐澳良雞腿排"", ""蒜泥白肉"", ""蒲燒鯛魚"", ""香腸"", ""香酥炸雞腿"", ""香酥鯖魚"", ""鹹酥雞"", ""黑胡椒舒肥雞胸肉"", ""黑胡椒豬柳"", ""三杯豆腐"", ""咖哩洋芋"", ""椒鹽百頁"", ""滷蛋"", ""紅蘿蔔炒蛋"", ""肉絲越瓜"", ""蕃茄炒蛋"", ""蛋酥白菜"", ""螞蟻上樹"", ""酸菜麵腸"", ""香菇瓜仔肉"", ""魚板蒲瓜"", ""麻婆豆腐"", ""地瓜葉"", ""塔香海茸"", ""塔香茄子"", ""大陸妹"", ""木耳杏鮑菇"", ""涼拌小黃瓜"", ""紅絲絲瓜"", ""紅絲蚵白菜"", ""紅絲青花菜"", ""紅絲高麗菜"", ""紅蘿櫛瓜"", ""薑香海結"", ""豆芽菜"", ""香菇刺瓜"", ""香菇西芹彩椒""]"
新北市三重區三重國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配較為均衡。亮點為蕎麥飯提供全穀類纖維，咖哩雞雖有皮肉脂肪但與蔬菜搭配良好，有機小芥菜清燙保留纖維與礦物質，綠豆地瓜湯則提供高纖維與低熱量的營養。隱憂為香滷麵輪加工肉類鈉偏高，建議減少此類食品的攝入。整體屬於偏健康的一餐，若能減少高加工食品的使用，將更為均衡。,6,"[""有機小芥菜"", ""咖哩雞"", ""蕎麥飯"", ""香滷麵輪"", ""綠豆地瓜湯"", ""綠豆地瓜湯""]"
新北市三重區三重高中,2026-03-31,4,本餐主食、主菜、副菜、蔬菜、湯品均有多樣選擇，營養均衡。亮點為多道清淡手法烹調的菜餚，如滷香百頁、豆瓣鮮魚、麻油雞、履歷油麥菜等，提供優質蛋白質、纖維和礦物質。副菜如哨子豆腐、扁豆蔬菜湯等也富含纖維和礦物質。隱憂為部分副菜如結菜黑輪、綜合關東煮等加工度較高，鈉含量偏高，建議適量控制。整體屬均衡且多樣的一餐。,17,"[""麻油雞"", ""白飯"", ""結菜黑輪"", ""酸菜肉絲湯"", ""滷香百頁(素)"", ""小米飯(素)"", ""哨子豆腐(素)"", ""履歷油麥菜(素)"", ""扁豆蔬菜湯(素)"", ""腐皮白菜(素)"", ""履歷油麥菜"", ""泰式打拋鴿蛋"", ""豆瓣鮮魚(非基改)"", ""綜合關東煮"", ""鄉村粉絲"", ""玉米蛋花湯(非基改)"", ""油麥菜(履歷""]"
新北市三重區二重國中,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與副菜齊全，搭配均衡。亮點為多道蔬菜清燙或生食，保留纖維與礦物質，滷香百頁、麻油鮮魚、哨子豆腐等菜餚提供優質蛋白與纖維。隱憂為白飯缺乏蛋白質與纖維，酸菜肉絲湯中的酸菜高鈉，腐皮白菜的油片絲加工度較高。整體屬均衡且清淡的一餐，但建議減少高鈉食材的使用並增加全谷物的比例。,12,"[""白飯"", ""酸菜肉絲湯"", ""滷香百頁(素)"", ""小米飯(素)"", ""哨子豆腐(素)"", ""履歷油麥菜(素)"", ""扁豆蔬菜湯(素)"", ""腐皮白菜(素)"", ""履歷油麥菜"", ""泰式打拋鴿蛋"", ""麻油鮮魚"", ""結菜鮮蔬""]"
新北市三重區二重國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配均衡。亮點為多道菜餚選用全谷物、豆製品、原型葉菜等優質食材，提供豐富的纖維、蛋白質與礦物質；清淡滷味與清燙烹調手法保留營養。隱憂為白飯缺乏蛋白質與纖維、結菜黑輪高加工高鈉、酸菜肉絲湯酸菜高鈉。整體屬均衡且清淡的一餐，但建議減少高加工、高鈉食材的使用。,13,"[""白飯"", ""結菜黑輪"", ""酸菜肉絲湯"", ""有機小芥菜"", ""滷香百頁(素)"", ""小米飯(素)"", ""哨子豆腐(素)"", ""扁豆蔬菜湯(素)"", ""腐皮白菜(素)"", ""泰式打拋鴿蛋"", ""麻油鮮魚"", ""有機小芥菜(素)"", ""李子""]"
新北市三重區五華國小,2026-03-31,3,本餐主食、主菜、蔬菜、湯品與水果齊全，但營養均衡度尚可改善。亮點為滷白菜保留纖維、有機小芥菜清燙、補助豆漿提供豐富蛋白質與營養。隱憂為主食海苔香鬆飯加工素料較多，糖醋虎皮蛋為罐頭食品鈉糖偏高，炸醬干丁高加工且高油手法導致熱量高。整體屬一般的餐次，建議減少高加工食品與油炸頻率，增加全穀與新鮮蔬菜的比例。,7,"[""糖醋虎皮蛋"", ""海苔香鬆飯"", ""滷白菜"", ""炸醬干丁"", ""椰香紫芋露"", ""有機小芥菜"", ""補助豆漿""]"
新北市三重區修德國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配較為均衡。亮點為有機小芥菜清燙保留纖維與礦物質，南瓜豆腐蛋與紅片花椰營養豐富，薑絲海芽湯與蜜棗李提供良好礦物質與纖維。隱憂為主食白飯缺乏蛋白質與纖維，部分菜餚如壽喜燒與鐵板素雞加工度較高，蜜汁地瓜添加糖分偏高，建議減少加工食品與添加糖分。整體屬偏健康的一餐，但仍需注意主食與部分菜餚的營養平衡度。,11,"[""白飯"", ""壽喜燒"", ""年糕凍腐(素)"", ""南瓜豆腐蛋"", ""紅片花椰"", ""薑絲海芽湯(素)"", ""蜜汁地瓜(素)"", ""鐵板素雞(素)"", ""薑絲海芽湯"", ""有機小芥菜"", ""蜜棗李""]"
新北市三重區光榮國中,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配較為均衡。亮點為蕎麥飯提供全穀類纖維，咖哩雞雖有皮肉脂肪但與蔬菜搭配良好，有機小芥菜清燙保留纖維與礦物質，綠豆地瓜湯則提供高纖維與低熱量的營養。隱憂為香滷麵輪加工肉類鈉偏高，建議減少此類食品的攝入。整體屬於偏健康的一餐，若能減少高加工食品的使用，將更為均衡。,6,"[""有機小芥菜"", ""咖哩雞"", ""蕎麥飯"", ""香滷麵輪"", ""綠豆地瓜湯"", ""綠豆地瓜湯""]"
新北市三重區光榮國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配均衡。亮點為全穀蕎麥飯提供纖維與礦物質、有機小芥菜清燙保留營養、綠豆地瓜湯高纖維低熱量。隱憂為咖哩雞皮肉脂肪偏高，香滷麵輪加工肉類鈉偏高，香蔥麵包碳水化合物高營養價值低。整體屬均衡偏健康的一餐，建議減少高加工食品與高碳水化合物食物的攝入。,6,"[""有機小芥菜"", ""咖哩雞"", ""蕎麥飯"", ""香滷麵輪"", ""綠豆地瓜湯"", ""香蔥麵包""]"
新北市三重區光興國小,2026-03-31,3,本餐主食選用白飯，缺乏蛋白質與纖維。亮點為橙汁排骨搭配蔬菜，小芥菜清燙保留纖維與礦物質，CAS全脂鮮奶與TAP豆奶提供豐富營養。然而，隱憂為多道菜餚如橙汁豆腸、芝麻包、蘑菇濃湯、香烤花枝丸等加工食品熱量與鈉偏高，且營養價值較低。整體屬一般的餐次，建議減少加工食品的比例，增加全穀與新鮮蔬菜的選用。,11,"[""白飯"", ""橙汁排骨"", ""橙汁豆腸(素)"", ""芋頭高麗"", ""芝麻包X1(素)"", ""蘑菇濃湯(素)"", ""香烤花枝丸X2"", ""蘑菇濃湯"", ""小芥菜"", ""CAS全脂鮮奶"", ""TAP豆奶(素)""]"
新北市三重區厚德國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配豐富。亮點為多道菜餚選用新鮮蔬菜，例如有機小芥菜、紅片花椰、泰式打拋鴿蛋等，提供豐富的纖維與礦物質；部分菜餚如麻油鮮魚、薑絲海芽湯等營養豐富。隱憂為部分菜餚如結菜黑輪、鐵板素雞等加工度高，鈉與加工油脂可能偏高；另外，蜜汁地瓜的添加糖分略高。整體屬均衡且多樣的一餐，但仍需注意少數菜餚的加工度與添加物。,18,"[""白飯"", ""結菜黑輪"", ""酸菜肉絲湯"", ""壽喜燒"", ""年糕凍腐(素)"", ""南瓜豆腐蛋"", ""紅片花椰"", ""薑絲海芽湯(素)"", ""蜜汁地瓜(素)"", ""鐵板素雞(素)"", ""薑絲海芽湯"", ""泰式打拋鴿蛋"", ""麻油鮮魚"", ""蜜棗李"", ""炒素齋(素)"", ""五香豆干(素)"", ""有機小芥菜"", ""小番茄""]"
新北市三重區新北高中,2026-03-31,3,本餐主食選用白飯，缺乏蛋白質與纖維，主菜部分如嘉義雞絲飯、椒鹽里肌等營養豐富，但炒素排骨加工度高、營養價值偏低。亮點包含季節時蔬保留營養、滷海帶結的海藻類食材、蛋包飯的蛋白質與蔬菜搭配。隱憂為部分菜餚如咖哩蓋飯、烤豬肉飯熱量偏高，滷海帶結的鈉含量偏高，麻婆豆腐缺乏明確烹飪手法評估。整體屬一般均衡度的一餐，建議增加全穀主食、減少高加工食品與高熱量菜餚。,10,"[""嘉義雞絲飯"", ""椒鹽里肌"", ""炒素排骨"", ""烤豬肉飯"", ""白飯"", ""咖哩蓋飯"", ""季節時蔬"", ""滷海帶結"", ""蛋包飯"", ""麻婆豆腐""]"
新北市三重區明志國中,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與副菜齊全，搭配較為均衡。亮點為多道菜肴選用新鮮食材，例如豆瓣鮮魚、麻油雞、泰式打拋鴿蛋、油麥菜等，提供豐富的蛋白質、纖維和礦物質。玉米蛋花湯和酸菜肉絲湯則提供優質蛋白和蔬菜。隱憂為主食選用白飯，缺乏蛋白質和纖維；結菜黑輪和綜合關東煮高加工高鈉，營養較低。整體屬於較為均衡的一餐，但仍需注意主食和部分副菜的營養平衡。,11,"[""麻油雞"", ""白飯"", ""結菜黑輪"", ""酸菜肉絲湯"", ""履歷油麥菜"", ""泰式打拋鴿蛋"", ""豆瓣鮮魚(非基改)"", ""綜合關東煮"", ""鄉村粉絲"", ""玉米蛋花湯(非基改)"", ""(油麥菜)履歷""]"
